date_id,date
20230821,2023-08-21
20230822,2023-08-22
20230823,2023-08-23
20230824,2023-08-24
20230825,2023-08-25
20230826,2023-08-26
20230827,2023-08-27
20230828,2023-08-28
20230829,2023-08-29
20230830,2023-08-30
20230831,2023-08-31
20230901,2023-09-01
20230902,2023-09-02
20230903,2023-09-03
20230904,2023-09-04
20230905,2023-09-05
20230906,2023-09-06
20230907,2023-09-07
20230908,2023-09-08
20230909,2023-09-09
20230910,2023-09-10
20230911,2023-09-11
20230912,2023-09-12
20230913,2023-09-13
20230914,2023-09-14
20230915,2023-09-15
20230916,2023-09-16
20230917,2023-09-17
20230918,2023-09-18
20230919,2023-09-19
20230920,2023-09-20
20230921,2023-09-21
20230922,2023-09-22
20230923,2023-09-23
20230924,2023-09-24
20230925,2023-09-25
20230926,2023-09-26
20230927,2023-09-27
20230928,2023-09-28
20230929,2023-09-29
20230930,2023-09-30
20231001,2023-10-01
20231002,2023-10-02
20231003,2023-10-03
20231004,2023-10-04
20231005,2023-10-05
20231006,2023-10-06
20231007,2023-10-07
20231008,2023-10-08
20231009,2023-10-09
20231010,2023-10-10
20231011,2023-10-11
20231012,2023-10-12
20231013,2023-10-13
20231014,2023-10-14
20231015,2023-10-15
20231016,2023-10-16
20231017,2023-10-17
20231018,2023-10-18
20231019,2023-10-19
20231020,2023-10-20
20231021,2023-10-21
20231022,2023-10-22
20231023,2023-10-23
20231024,2023-10-24
20231025,2023-10-25
20231026,2023-10-26
20231027,2023-10-27
20231028,2023-10-28
20231029,2023-10-29
20231030,2023-10-30
20231031,2023-10-31
20231101,2023-11-01
20231102,2023-11-02
20231103,2023-11-03
20231104,2023-11-04
20231105,2023-11-05
20231106,2023-11-06
20231107,2023-11-07
20231108,2023-11-08
20231109,2023-11-09
20231110,2023-11-10
20231111,2023-11-11
20231112,2023-11-12
20231113,2023-11-13
20231114,2023-11-14
20231115,2023-11-15
20231116,2023-11-16
20231117,2023-11-17
20231118,2023-11-18
20231119,2023-11-19
20231120,2023-11-20
20231121,2023-11-21
20231122,2023-11-22
20231123,2023-11-23
20231124,2023-11-24
20231125,2023-11-25
20231126,2023-11-26
20231127,2023-11-27
20231128,2023-11-28
20231129,2023-11-29
20231130,2023-11-30
20231201,2023-12-01
20231202,2023-12-02
20231203,2023-12-03
20231204,2023-12-04
20231205,2023-12-05
20231206,2023-12-06
20231207,2023-12-07
20231208,2023-12-08
20231209,2023-12-09
20231210,2023-12-10
20231211,2023-12-11
20231212,2023-12-12
20231213,2023-12-13
20231214,2023-12-14
20231215,2023-12-15
20231216,2023-12-16
20231217,2023-12-17
20231218,2023-12-18
20231219,2023-12-19
20231220,2023-12-20
20231221,2023-12-21
20231222,2023-12-22
20231223,2023-12-23
20231224,2023-12-24
20231225,2023-12-25
20231226,2023-12-26
20231227,2023-12-27
20231228,2023-12-28
20231229,2023-12-29
20231230,2023-12-30
20231231,2023-12-31
